Year,Open,High,Low,Close
1999,,1800.86,,1791.44,
2000,1856.69,2485.87,1136.71,1304.66,
2001,1310.04,1480.99,,1005.82,
2002,1006.48,1230.53,999.84,1176.73,
2003,1178.71,2401.09,1051.60,2366.36,
2004,2376.01,2784.18,1659.74,2779.65,
2005,2791.56,3806.22,2534.85,3795.96,
2006,3803.63,5354.58,3360.85,5270.76,
2007,5269.98,8616.65,4656.90,8592.43,
2008,8620.10,8991.42,2899.28,3596.85,
2009,3618.00,6872.18,2961.26,6842.25,
2010,6839.38,8434.05,6280.99,7961.06,
2011,7989.28,8038.74,5683.02,5778.68,
2012,5797.33,7627.07,5734.21,7581.57,
2013,7613.36,31543.80,6301.27,7828.34,
2014,7850.35,11089.32,7320.93,10721.62,
2015,10720.05,11764.80,9931.88,10634.22,
2016,10633.25,12083.11,9011.98,11036.44,
2017,11071.08,15015.22,11005.66,15002.73,
2018,15020.45,15937.92,13287.30,14540.39,
2019,14572.46,15786.44,13678.41,15667.44,
2020,15699.53,18343.95,9758.33,18300.10,
2021,18321.93,25454.92,17927.75,23811.00,
2022,23866.03,25554.25,20482.98,24605.78,
2023,24643.05,30755.42,22556.39,30720.28,
2024,30769.54,35399.34,30176.35,35112.57,
